section,comparison,split,family,subtype,metric,value,notes
pair_parent_overlap,train-val,,all,all,shared_parent_hashes,127,non-empty parent_image_hash only
pair_image_path_overlap,train-val,,all,all,shared_image_paths,0,image_path disjointness check
pair_parent_overlap_rows,train-val,train,all,all,rows_with_pair_shared_parent,583,rows in this split whose parent appears in the paired split
pair_parent_overlap_rows,train-val,val,all,all,rows_with_pair_shared_parent,240,rows in this split whose parent appears in the paired split
pair_parent_overlap,train-test,,all,all,shared_parent_hashes,128,non-empty parent_image_hash only
pair_image_path_overlap,train-test,,all,all,shared_image_paths,0,image_path disjointness check
pair_parent_overlap_rows,train-test,train,all,all,rows_with_pair_shared_parent,587,rows in this split whose parent appears in the paired split
pair_parent_overlap_rows,train-test,test,all,all,rows_with_pair_shared_parent,240,rows in this split whose parent appears in the paired split
pair_parent_overlap,val-test,,all,all,shared_parent_hashes,108,non-empty parent_image_hash only
pair_image_path_overlap,val-test,,all,all,shared_image_paths,0,image_path disjointness check
pair_parent_overlap_rows,val-test,val,all,all,rows_with_pair_shared_parent,197,rows in this split whose parent appears in the paired split
pair_parent_overlap_rows,val-test,test,all,all,rows_with_pair_shared_parent,193,rows in this split whose parent appears in the paired split
all_three_parent_overlap,train-val-test,,all,all,shared_parent_hashes,108,non-empty parent_image_hash shared by all three reason splits
split_parent_presence,within_split,train,all,all,unique_nonempty_parent_hashes,150,unique parent hashes in split
rows_with_parent_in_any_other_split,against_other_splits,train,all,all,rows,696,rows whose parent appears in at least one other reason split
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,arrow_annotation,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,blur_artifact,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,border_crop,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,composite_layout,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,gaussian_noise,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,jpeg_compression,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,rectangle_annotation,rows,87,unique_overlapping_parents=87
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,train,sensory_artifact,text_watermark,rows,87,unique_overlapping_parents=87
split_parent_presence,within_split,val,all,all,unique_nonempty_parent_hashes,127,unique parent hashes in split
rows_with_parent_in_any_other_split,against_other_splits,val,all,all,rows,240,rows whose parent appears in at least one other reason split
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,arrow_annotation,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,blur_artifact,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,border_crop,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,composite_layout,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,gaussian_noise,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,jpeg_compression,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,rectangle_annotation,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,val,sensory_artifact,text_watermark,rows,30,unique_overlapping_parents=30
split_parent_presence,within_split,test,all,all,unique_nonempty_parent_hashes,128,unique parent hashes in split
rows_with_parent_in_any_other_split,against_other_splits,test,all,all,rows,240,rows whose parent appears in at least one other reason split
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,arrow_annotation,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,blur_artifact,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,border_crop,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,composite_layout,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,gaussian_noise,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,jpeg_compression,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,rectangle_annotation,rows,30,unique_overlapping_parents=30
rows_with_parent_in_any_other_split_by_taxonomy,against_other_splits,test,sensory_artifact,text_watermark,rows,30,unique_overlapping_parents=30
